Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
33,SK-Repeaters,Skalka - Kremnické vrchy,,OM0OVW,,145.175,DUP-,0.6,FM,OFF,88.5Hz,NO,Approximate,48.72917,18.95833,+1:00
33,SK-Repeaters,Košice,,OM0ODM,,430.625,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,48.72917,21.20833,+1:00
33,SK-Repeaters,Čadca - Drahošanka,,OM0OAC,,430.625,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.4375,18.79167,+1:00
33,SK-Repeaters,Kojšovská hoľa,,OM0ODK,,430.65,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,48.77083,20.95833,+1:00
33,SK-Repeaters,Vyšné Hágy,,OM0ODP,,430.675,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.14583,20.04167,+1:00
33,SK-Repeaters,Kubínska hoľa,,OM0OAD,,430.95,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.27083,19.20833,+1:00
33,SK-Repeaters,Veľká Javorina,,OM0OUJ,,431.275,DUP-,7.6,FM,TONE,77.0Hz,YES,Approximate,48.85417,17.70833,+1:00
33,SK-Repeaters,Žilina - Hradisko,,OM0OAE,,431.325,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.22917,18.70833,+1:00
33,SK-Repeaters,Snina - Sterbňa,,OM0OUW,,431.375,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,48.97917,22.20833,+1:00
33,SK-Repeaters,Stará Ľubovňa - hrad,,OM0OUS,,431.425,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.3125,20.70833,+1:00
33,SK-Repeaters,Prešov - Stráž,,OM0OUP,,431.5,DUP-,7.6,FM,TONE,88.5Hz,YES,Approximate,49.02083,21.20833,+1:00
33,SK-Repeaters,Krížava (Veľá lúka),,OM0OUA,,431.5375,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,49.10417,18.79167,+1:00
33,SK-Repeaters,Sitno,,OM0OUX,,431.55,DUP-,7.6,FM,TONE,77.0Hz,YES,Approximate,48.39583,18.875,+1:00
33,SK-Repeaters,Galanta,,OM0OUG,,431.575,DUP-,7.6,FM,TONE,88.5Hz,YES,Approximate,48.1875,17.70833,+1:00
33,SK-Repeaters,Koňuš,,OM0ODT,,431.575,DUP-,7.6,FM,TONE,88.5Hz,YES,Approximate,48.77083,22.29167,+1:00
33,SK-Repeaters,Chata pod Kľačianskou Magurou,,OM0OUV,,431.6,DUP-,7.6,FM,TONE,100.0Hz,YES,Approximate,49.14583,18.95833,+1:00
33,SK-Repeaters,Nové Zámky,,OM0OET,,431.625,DUP-,7.6,FM,TONE,77.0Hz,YES,Approximate,47.97917,18.125,+1:00
33,SK-Repeaters,Banská Bystrica - Vartovka,,OM0OUH,,431.675,DUP-,7.6,FM,OFF,88.5Hz,NO,Approximate,48.72917,19.125,+1:00
33,SK-Repeaters,Veľký Inovec,,OM0OUN,,431.7,DUP-,7.6,FM,TONE,88.5Hz,YES,Approximate,48.39583,18.54167,+1:00
33,SK-Repeaters,Bratislava - Kamzík,,OM0OUB,,431.725,DUP-,7.6,FM,TONE,77.0Hz,YES,Approximate,48.1875,17.125,+1:00
33,SK-Repeaters,Trnava,,OM0OUR,,431.875,DUP-,7.6,FM,TONE,88.5Hz,YES,Approximate,48.35417,17.54167,+1:00
33,SK-DSTAR,Bratislava - Dúbravka,,OM0ODB,OM0ODB G,430.725,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,48.1875,17.04167,+1:00
33,SK-DSTAR,Kubínska hoľa,,OM0OAD,OM0OAD G,430.95,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,49.27083,19.20833,+1:00
33,SK-DSTAR,Žilina - mesto,,OM0OAA,OM0OAA G,431.025,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,49.22917,18.70833,+1:00
33,SK-DSTAR,Žilina - Hradisko,,OM0OAE,OM0OAE G,431.325,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,49.22917,18.70833,+1:00
33,SK-DSTAR,Lučenec,,OM0OUL,OM0OUL G,431.375,DUP-,7.6,DV,OFF,88.5Hz,YES,Approximate,48.35417,19.625,+1:00
34,SG-Repeaters,Singapore East,Singapore East,9V1RMP,,430.825,DUP-,7.6,FM,TONE,156.7Hz,YES,Exact,1.3095,103.9335,+8:00
34,SG-Repeaters,Singapore West,Singapore West,9V1RS,,145.025,DUP-,0.6,FM,TONE,156.7Hz,YES,Exact,1.318,103.7563,+8:00
